state,treatment,outcome,cost
severe,0,0.9417192217326256,0
healthy,0,-0.8476025265500116,0
severe,0,0.10020729069577258,0
healthy,1,-0.5165752473180281,1000
healthy,0,-1.2908365464640215,0
healthy,1,0.8222036284226658,1000
mild,1,1.0225074076436231,1000
healthy,1,-0.03612021645141983,1000
healthy,1,0.9361553800024763,1000
severe,0,0.957350235878801,0
healthy,0,1.9731915244902967,0
healthy,1,-1.3880907690196518,1000
severe,0,-0.8598709860523259,0
mild,1,0.11811847462387837,1000
healthy,1,-0.7680968898840426,1000
mild,1,2.5246578234021815,1000
severe,1,4.970928701534941,1000
mild,0,-1.6019050221852666,0
healthy,0,0.3316976833714213,0
mild,0,1.5467393061666468,0
mild,1,0.947608119503468,1000
severe,0,0.42173176881485813,0
severe,1,6.598062836604172,1000
severe,0,-0.88264173145681,0
severe,1,4.9166769700369555,1000
severe,0,-1.4705809090535218,0
severe,0,1.353519583570317,0
severe,1,5.417516737658868,1000
severe,1,4.391525696794551,1000
mild,0,-0.18588530916535387,0
severe,1,5.936947717209249,1000
mild,0,-1.5993439974161385,0
healthy,1,-0.31872520398623183,1000
severe,1,5.220722383526821,1000
healthy,1,1.3921568659110437,1000
severe,0,0.4562507265534208,0
healthy,1,-0.946792411642897,1000
mild,0,0.9985991301131079,0
severe,1,6.180328275837862,1000
mild,0,1.0050720465956473,0
healthy,0,0.020324444173145502,0
mild,0,-0.569334218106833,0
severe,1,6.444326821783452,1000
mild,0,-0.4676804088081502,0
mild,1,2.135101826826278,1000
healthy,0,0.9258282636986161,0
healthy,1,1.7694623788117707,1000
severe,0,-0.7205615330368722,0
healthy,1,1.802276244865326,1000
mild,1,1.457312155929231,1000
healthy,1,1.3022226721684809,1000
severe,1,5.661685311432792,1000
healthy,0,0.07005322328403871,0
severe,0,-1.3663613762848366,0
severe,0,-1.0081155239646367,0
mild,0,0.9934789732247071,0
mild,1,2.46155673340679,1000
mild,0,0.558581044328699,0
severe,0,-0.27883553384331217,0
healthy,1,0.12429132514161512,1000
healthy,0,0.47031355569024447,0
severe,1,4.673647283408711,1000
severe,1,5.45751151593531,1000
healthy,0,-1.1738772804288455,0
healthy,1,0.5870012907341949,1000
severe,0,-0.7209399926872685,0
healthy,0,0.2294347602778247,0
healthy,1,-0.5902503158375829,1000
severe,0,1.2997268676250828,0
severe,0,-1.6258990470147483,0
mild,1,3.0532572683397587,1000
mild,0,-0.3138017104632592,0
healthy,0,0.6229544084168632,0
severe,1,5.464416546810668,1000
healthy,1,-0.02039197334428755,1000
severe,1,4.588131036296453,1000
healthy,1,1.5493431968876754,1000
healthy,0,0.1613690578825066,0
severe,0,-0.27277303424423965,0
mild,1,1.6008772346500575,1000
mild,1,1.766770252432538,1000
severe,0,1.6563430110214565,0
healthy,1,2.004424126884077,1000
healthy,0,1.6964052870743067,0
healthy,0,1.6505961678209733,0
severe,0,-0.7032812007972538,0
mild,1,2.070607910610982,1000
severe,0,-0.597449036334405,0
mild,1,2.894940904635069,1000
mild,0,-0.15804970358211806,0
severe,0,-0.42434035836702255,0
mild,0,-0.3925273840015848,0
mild,0,-0.7366345100834693,0
mild,0,0.7069942077931611,0
healthy,1,1.033299617243769,1000
severe,0,-0.7053259834176672,0
healthy,0,0.9093750403385027,0
severe,0,0.3293965385428595,0
healthy,0,-0.9571999384521994,0
mild,1,0.9560539914314994,1000
healthy,1,-0.4194332488777147,1000
healthy,1,1.4174913614741993,1000
severe,0,1.4808606593269567,0
severe,1,2.2339548468833756,1000
healthy,1,-0.6935546717360452,1000
severe,0,1.2976193893803862,0
mild,1,1.7132244757829853,1000
mild,1,3.0521270736593893,1000
mild,0,0.08098247962866946,0
severe,0,0.31291630948427274,0
severe,0,1.0981549331765559,0
healthy,0,-0.02694871931593643,0
severe,0,-0.8434555167917658,0
healthy,1,1.0741621833651036,1000
severe,0,-0.4040867422717875,0
severe,0,2.277546204304858,0
healthy,0,-0.15540042755397712,0
mild,1,2.528316500096352,1000
severe,1,5.924496642928221,1000
healthy,1,1.709476075400804,1000
severe,1,6.176336512251709,1000
severe,0,1.1755977200926444,0
severe,1,4.904809198601703,1000
severe,0,0.794883250264361,0
severe,1,3.1170134325370813,1000
healthy,1,1.1497435148598938,1000
severe,1,5.69942801088385,1000
healthy,0,0.8427147392660045,0
healthy,1,1.3889300996248262,1000
mild,0,0.9024696121340435,0
healthy,1,0.16409090481511585,1000
healthy,1,0.25600199666453394,1000
mild,1,2.7012947000689658,1000
severe,1,3.2393427117336158,1000
mild,0,-1.4567179918650996,0
severe,1,4.416296373991047,1000
severe,1,4.593805384529961,1000
healthy,0,0.3002193703730385,0
severe,1,7.100278315387041,1000
mild,1,1.5542201069101458,1000
mild,1,2.4685699981726854,1000
severe,0,-1.6197542603990769,0
mild,1,1.561257643271907,1000
mild,0,0.7114875721974018,0
healthy,1,0.12522829791309137,1000
healthy,0,-0.5996075244154967,0
healthy,1,-1.567959740306868,1000
severe,1,4.247916493428825,1000
healthy,1,1.6381565112018086,1000
mild,0,-0.4277487938007572,0
healthy,1,0.5924157507683294,1000
mild,1,1.2576415334080242,1000
healthy,0,-0.2941935992375533,0
mild,1,3.19917657038603,1000
healthy,0,-0.4418266413402013,0
healthy,0,-0.7296581187528698,0
healthy,0,1.224652087643774,0
healthy,1,0.47114873146594544,1000
mild,0,-0.29986506565682913,0
healthy,1,0.6790135889382085,1000
severe,0,1.0635810744740257,0
healthy,1,0.6318436254671824,1000
healthy,0,-0.6924944970681252,0
severe,0,0.12273735998386015,0
mild,1,0.43418309995506044,1000
severe,0,-0.913867894549157,0
mild,0,0.33539232033912514,0
severe,1,5.030034760906125,1000
severe,0,0.39672541917564996,0
severe,0,0.4304071874249898,0
mild,1,2.824207233693646,1000
healthy,0,0.11060983149444753,0
healthy,1,1.5127490896521067,1000
severe,0,0.45978442089602833,0
mild,1,2.515352505786653,1000
mild,0,-0.8346452553039995,0
healthy,1,-0.21609480738981046,1000
mild,1,1.4749875029114103,1000
mild,1,3.902120325024773,1000
severe,0,1.3696882065897347,0
mild,0,-0.8848765060771847,0
mild,1,1.9797982820071722,1000
severe,1,4.201779794897579,1000
healthy,1,-0.27016507424346525,1000
healthy,0,1.0094022018607625,0
mild,1,0.5316131762869758,1000
severe,0,0.4718184117917571,0
healthy,1,0.43753271263695753,1000
mild,0,0.9969744200914968,0
healthy,1,0.6929282205857402,1000
mild,1,3.4963108939656724,1000
healthy,1,0.5381225839747484,1000
severe,0,0.9535405168404316,0
severe,0,0.21848433768413822,0
healthy,0,0.07400738632556479,0
severe,0,1.2158205227325467,0
healthy,1,0.5802528753449998,1000
healthy,1,0.6730582520335752,1000
severe,0,-0.6963649141964028,0
mild,0,0.03798333041334852,0
severe,1,2.3195998050311504,1000
mild,1,1.5643321941047992,1000
mild,0,0.3320844909530474,0
mild,0,-0.14602326323804166,0
healthy,1,0.2825987015445467,1000
mild,0,0.5687698224067887,0
mild,1,3.5676669012417186,1000
severe,0,-0.39989994910991383,0
healthy,0,0.8652983173445821,0
healthy,1,0.48078384668897317,1000
mild,0,0.5245583162283144,0
severe,0,2.0093864666135124,0
mild,1,2.930521008304066,1000
healthy,1,1.7568474835881402,1000
severe,0,-0.404587237201017,0
healthy,0,-0.0883766732328265,0
healthy,0,-1.078146070264339,0
healthy,1,-0.1071791472401018,1000
healthy,0,0.20254586172713995,0
healthy,0,-0.6946256757589302,0
severe,1,5.233019895511515,1000
severe,0,-0.4552505639398419,0
healthy,1,0.6462511025239798,1000
mild,0,0.671207428451077,0
mild,0,0.5930100444665547,0
healthy,1,0.9183662779288999,1000
severe,1,6.325652417063156,1000
mild,0,-1.8556870786194757,0
severe,1,4.969969581987461,1000
severe,1,5.77779185580513,1000
mild,1,-0.05117380005486272,1000
mild,1,3.7281759565249066,1000
severe,1,4.69917035725778,1000
mild,1,1.3233464262638543,1000
healthy,0,0.7675960503579736,0
mild,1,1.226175502268234,1000
severe,1,6.3498232526276865,1000
severe,0,0.020426460812409803,0
severe,1,6.418230356697642,1000
severe,1,6.23187034435135,1000
severe,0,0.12209729089172726,0
severe,0,-0.6805489686520229,0
healthy,0,1.7382971296388938,0
severe,1,3.4837483102048354,1000
severe,1,4.660923975403594,1000
healthy,0,0.8675691135292438,0
severe,0,-1.4662039368753146,0
severe,0,-1.2212561130825519,0
healthy,1,0.3177819765231419,1000
mild,1,2.2773003786214314,1000
mild,1,0.11290103912362826,1000
severe,1,6.1324931403000615,1000
mild,0,-0.15192042844851153,0
mild,1,2.707548105349467,1000
healthy,1,-0.2465881721473323,1000
mild,1,1.6169692778915081,1000
severe,0,0.3025820927827435,0
healthy,0,0.15722959410790013,0
mild,1,2.6738787140059532,1000
severe,1,5.723208297640595,1000
healthy,0,-1.158629316359154,0
severe,0,0.18996872546967386,0
mild,1,1.8339939258486329,1000
severe,1,5.395953313793968,1000
mild,0,-0.3197117394544986,0
mild,1,2.0524711267547784,1000
mild,1,3.9477332171880395,1000
mild,1,0.8193864583921779,1000
mild,0,-0.44962288591645,0
healthy,0,-2.3379027202667695,0
mild,0,-0.5380980345796212,0
healthy,1,-0.6064401381726041,1000
severe,1,6.947353884555851,1000
severe,1,4.673290107381387,1000
healthy,0,-0.40449537626901866,0
healthy,0,0.6478061216671704,0
severe,1,3.928444481872138,1000
healthy,0,0.768766631480644,0
healthy,1,1.2349123315981325,1000
mild,1,3.5683176750712207,1000
severe,0,0.5474454912279973,0
healthy,1,-1.3396884440552046,1000
healthy,1,1.639006805053267,1000
healthy,0,3.1775070109529406,0
mild,0,-0.028773640922540766,0
severe,1,5.001000208518088,1000
severe,0,-0.48849885773539875,0
healthy,0,-1.6348541692972813,0
healthy,1,0.866984565303603,1000
mild,0,-0.5490039696346887,0
healthy,1,0.8335247361937242,1000
healthy,0,0.36408284347159564,0
mild,0,1.8990469111931,0
healthy,0,-0.4019452912802007,0
severe,1,3.7577384209033804,1000
severe,0,0.2842579687773392,0
severe,1,4.901979051385962,1000
mild,0,1.8713479077922517,0
mild,1,2.8323463186602824,1000
severe,0,-0.13234973580823156,0
severe,1,6.021172955466186,1000
mild,1,3.1151572246296135,1000
healthy,1,-0.4412431689954721,1000
healthy,1,0.9505602469615284,1000
mild,1,4.219378973247808,1000
severe,0,-1.486256616202415,0
mild,0,-0.7517902993141331,0
severe,1,4.797195782481907,1000
mild,1,2.516236265500602,1000
mild,1,2.326275547871801,1000
mild,0,0.2081993296282865,0
mild,1,1.8010827698148058,1000
mild,1,2.313090902055902,1000
mild,0,1.4154038188308253,0
severe,0,1.7097646511532827,0
severe,0,1.0840602126301382,0
healthy,0,1.214061585529149,0
mild,1,2.087302389184083,1000
healthy,0,2.616998233340941,0
healthy,0,-1.4405927203979174,0
mild,0,0.25465114541734324,0
mild,0,0.7569775995456391,0
healthy,1,0.5743697789253649,1000
healthy,0,1.1141433508804992,0
mild,0,-0.1566061524027302,0
mild,1,3.290621361346367,1000
mild,1,2.1263650605286,1000
severe,1,4.619441932803581,1000
healthy,0,-0.5055798456712356,0
healthy,0,0.28987570003352536,0
healthy,1,-0.09074564467914514,1000
severe,1,2.1438884436007273,1000
healthy,0,-1.8771412085557497,0
mild,0,-0.49086965865730425,0
severe,1,4.6576681156546424,1000
healthy,1,1.7553840769097004,1000
severe,1,5.353881551244362,1000
severe,1,5.136400006127876,1000
mild,1,1.2649981128374272,1000
severe,1,7.858650384911055,1000
mild,1,2.017538157748902,1000
mild,0,0.9433701434130981,0
healthy,0,0.026144528531141988,0
mild,1,2.5886779847247254,1000
healthy,1,-0.9214805296916793,1000
healthy,1,0.8922351425609479,1000
healthy,0,0.10057818996261707,0
mild,1,2.116383783434288,1000
healthy,1,1.5955981385748683,1000
mild,0,-1.5850686477803235,0
mild,1,1.530274031799025,1000
healthy,0,-2.0670299864616375,0
mild,0,-0.262711219739832,0
healthy,0,1.0981805436614092,0
healthy,1,1.4898661004567988,1000
healthy,0,-0.2193408343832715,0
severe,1,5.208313204421386,1000
mild,0,-0.3650588258996386,0
severe,1,5.045044655017588,1000
severe,1,6.1118727382460385,1000
mild,0,1.7143013531213191,0
mild,0,0.7189820708555225,0
healthy,1,0.43341909860944305,1000
severe,0,1.752909590493859,0
mild,1,2.586651259161127,1000
healthy,0,-0.2668415039825712,0
mild,1,1.8650153898174013,1000
mild,0,-0.4252923889823884,0
healthy,1,1.2416045071226227,1000
mild,1,2.3157515726199165,1000
healthy,1,0.7161168292779443,1000
severe,1,4.421108541350475,1000
healthy,1,2.479029402454181,1000
mild,1,1.8628610783707977,1000
severe,1,6.154079570823962,1000
severe,1,3.998758826264944,1000
healthy,0,0.5375620096312681,0
healthy,0,-0.6241083134785105,0
healthy,1,1.0455134181334882,1000
severe,0,-0.8029816589107952,0
healthy,0,-1.1775225846237158,0
mild,0,-0.9573235028139021,0
severe,0,-1.5743018415972019,0
healthy,1,-0.22122595829132863,1000
severe,1,5.807455187163247,1000
mild,1,1.2424231466103688,1000
mild,1,1.3554859146280467,1000
mild,1,2.329158110816608,1000
